,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,cloud_altitude,temp,dewpoint,visibility,wind_speed,gust_speed,delay
11516,5,323,130,7,88,19,19,5,-2.0,-13.0,3,25000.0,24.0,24.0,10.0,5.0,0.0,0
11517,5,335,130,7,88,19,20,5,2.283333333333333,4.316666666666666,3,4000.0,22.0,22.0,10.0,4.0,0.0,0
11525,5,414,320,7,100,19,21,5,2.6166666666666667,-14.75,3,25000.0,24.0,24.0,10.0,5.0,0.0,0
11526,5,420,320,7,100,19,21,5,5.0,-9.86666666666666,3,4000.0,22.0,22.0,10.0,4.0,0.0,0
11539,10,433,270,7,18,19,20,18,10.7,9.466666666666667,2,25000.0,24.0,24.0,10.0,5.0,0.0,0
11540,10,439,270,7,18,19,21,18,60.85,1.2666666666666655,2,4200.0,22.0,22.0,10.0,3.0,0.0,0
11551,4,449,380,7,13,19,22,0,70.38333333333334,2.2666666666666657,1,25000.0,23.0,23.0,10.0,5.0,0.0,0
11552,4,442,380,7,13,19,21,0,1.8333333333333333,-9.466666666666667,1,4000.0,22.0,22.0,10.0,4.0,0.0,0
11564,6,450,320,7,101,19,22,5,77.95,-2.5833333333333286,3,99999.0,22.0,22.0,10.0,6.0,0.0,0
11565,6,452,320,7,101,19,20,5,1.7333333333333334,0.75,3,4000.0,22.0,22.0,10.0,4.0,0.0,0
11576,0,449,360,13,30,12,18,0,85.98333333333332,-4.850000000000024,0,6000.0,23.0,23.0,10.0,0.0,0.0,0
