,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_week,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,delay
9731,2.0,446,410,12,27,0,16,18,3,30.0,-35.0,0,0
9732,29.0,468,320,13,3,4,19,22,1,3.533333333333333,10.466666666666667,0,0
9733,29.0,469,320,13,3,1,19,22,1,4.383333333333334,8.583333333333343,0,0
9734,1.0,467,340,13,3,0,19,22,1,-2.1166666666666667,8.849999999999994,0,0
9735,29.0,466,340,13,3,3,19,23,1,27.7,10.716666666666667,0,0
9736,29.0,467,340,13,3,2,19,23,1,21.85,11.666666666666654,0,0
9737,29.0,457,340,13,3,5,19,23,1,21.316666666666666,6.25,0,0
9738,29.0,468,340,13,3,6,19,0,1,137.86666666666667,-3.9499999999999886,0,0
9739,29.0,460,340,13,3,4,19,22,1,2.716666666666667,5.800000000000013,0,0
9740,29.0,460,340,13,3,1,19,22,1,17.833333333333332,8.949999999999989,0,0
9741,1.0,468,320,13,3,0,19,22,1,6.8,23.15000000000001,0,0
9742,29.0,472,300,13,3,3,19,22,1,7.316666666666666,-6.666666666666656,0,0
9743,29.0,469,340,13,3,2,19,23,1,84.51666666666667,5.183333333333337,0,0
9744,29.0,477,320,13,3,5,19,22,1,28.8,2.9000000000000057,0,0
9745,1.0,444,390,13,2,1,19,21,1,0.45,8.549999999999997,0,0
9746,0.0,455,350,13,2,0,19,21,1,8.0,8.0,1,0
9747,5.0,455,350,13,2,3,19,21,1,42.56666666666667,-10.566666666666665,1,0
9748,5.0,456,370,13,2,2,19,21,1,4.516666666666667,4.916666666666657,1,0
9749,5.0,451,270,13,2,5,19,22,1,65.93333333333334,27.18333333333333,1,0
9750,5.0,453,290,13,2,6,19,22,1,76.85,9.150000000000006,1,0
9751,5.0,450,370,13,2,4,19,21,1,-0.5666666666666667,7.883333333333327,1,0
9752,5.0,450,370,13,2,1,19,21,1,5.433333333333334,6.199999999999987,1,0
9753,0.0,454,350,13,2,0,19,21,1,-5.7,3.0666666666666638,1,0
9754,5.0,455,350,13,2,3,19,21,1,23.0,16.416666666666654,1,0
9755,5.0,460,350,13,2,2,19,23,1,109.58333333333331,-3.4000000000000057,1,0
9756,5.0,459,228,13,2,5,19,21,1,-1.7,12.23333333333332,1,0
9757,8.0,468,320,13,14,4,19,22,1,7.816666666666666,-2.8166666666666638,0,0
9758,8.0,472,320,13,14,1,19,22,1,7.8,16.666666666666654,0,0
9759,8.0,472,320,13,14,0,19,22,1,6.3,7.699999999999987,0,0
