,actualarrivaltime,actualdeparturetime,aircrafttype,destination,destinationCity,destinationName,diverted,estimatedarrivaltime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,filed_departuretime,filed_ete,filed_time,ident,origin,originCity,originName,route
13,1537985760,1537974928,E170,KELP,"El Paso, TX",El Paso Intl,,1537985760,432,,280,1537974600,03:15:00,1537766757,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,PEKUE PIGGG QUANE CARET ROEZZ MCI J26 FRACA J26 CME SAMMR3
0,0,0,CRJ7,KORD,"Chicago, IL",Chicago O'Hare Intl,,1539111540,280,,0,1539106380,01:26:00,1538889925,SKW3004,KFSD,"Sioux Falls, SD",Joe Foss Field,
1,0,0,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,1539103320,294,,0,1539098400,01:22:00,1538889925,SKW3004,KORD,"Chicago, IL",Chicago O'Hare Intl,
2,0,0,CRJ7,KORD,"Chicago, IL",Chicago O'Hare Intl,,1539023912,438,,330,1539019980,01:08:00,1538803548,SKW3004,KFSD,"Sioux Falls, SD",Joe Foss Field,MCW ZZIPR FYTTE4
3,0,0,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,1539016920,440,,300,1539012000,01:22:00,1538803548,SKW3004,KORD,"Chicago, IL",Chicago O'Hare Intl,MYKIE MONNY SMIDD FSD
4,0,0,CRJ7,KORD,"Chicago, IL",Chicago O'Hare Intl,,1538938740,454,,330,1538933580,01:26:00,1538717161,SKW3004,KFSD,"Sioux Falls, SD",Joe Foss Field,MCW ZZIPR FYTTE4
5,1538933040,1538928480,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538933040,463,,300,1538925600,01:17:00,1538717161,SKW3004,KORD,"Chicago, IL",Chicago O'Hare Intl,MYKIE MONNY SMIDD FSD
6,1538853929,1538849983,CRJ7,KORD,"Chicago, IL",Chicago O'Hare Intl,,1538853929,455,,330,1538847180,01:19:00,1538850394,SKW3004,KFSD,"Sioux Falls, SD",Joe Foss Field,MCW ZZIPR FYTTE4
7,1538846820,1538842709,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538846820,464,,300,1538839200,01:09:00,1538843131,SKW3004,KORD,"Chicago, IL",Chicago O'Hare Intl,MYKIE MONNY SMIDD FSD
8,1538768277,1538763745,CRJ7,KORD,"Chicago, IL",Chicago O'Hare Intl,,1538768277,453,,330,1538760780,01:03:00,1538764175,SKW3004,KFSD,"Sioux Falls, SD",Joe Foss Field,MCW ZZIPR FYTTE4
9,1538760157,1538755605,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538760157,463,,300,1538752800,01:10:00,1538756058,SKW3004,KORD,"Chicago, IL",Chicago O'Hare Intl,MYKIE MONNY SMIDD FSD
10,1538678058,1538674310,CRJ7,KORD,"Chicago, IL",Chicago O'Hare Intl,,1538678058,455,,224,1538674380,01:00:00,1538675469,SKW3004,KFSD,"Sioux Falls, SD",Joe Foss Field,ABR128164 ZZIPR FYTTE4
11,-1,-1,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,-1,371,,0,1538674355,00:30:00,1538674404,SKW3004,KRST,"Rochester, MN",Rochester Intl,
12,-1,-1,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,-1,371,,0,1538666654,00:30:00,1538666660,SKW3004,KRST,"Rochester, MN",Rochester Intl,
13,1538671035,1538666608,CRJ7,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538671035,465,,300,1538666400,01:11:00,1538667640,SKW3004,KORD,"Chicago, IL",Chicago O'Hare Intl,MYKIE MONNY SMIDD FSD
14,1538593894,1538589660,CRJ7,KORD,"Chicago, IL",Chicago O'Hare Intl,,1538593894,456,,330,1538587560,01:02:00,1538371563,SKW3004,KFSD,"Sioux Falls, SD",Joe Foss Field,MCW ZZIPR FYTTE4
0,0,0,CRJ9,KBNA,"Nashville, TN",Nashville Intl,,1539098280,321,,0,1539089100,02:33:00,1538889929,SKW3665,KBOS,"Boston, MA",Boston Logan Intl,
1,0,0,CRJ9,KBNA,"Nashville, TN",Nashville Intl,,1539011880,443,,360,1539002700,02:33:00,1538803551,SKW3665,KBOS,"Boston, MA",Boston Logan Intl,BLZZR4 BLZZR BAF Q406 BWZ J6 YOCKY GROAT PASLY4
